Data,1. Contato,2. Coletar DOCs,3. Viabilidade,4. Contratação,5. Implementação,6. Encerramento
27/01/2025,0,5,7,4,11,0
28/01/2025,1,5,8,5,13,0
29/01/2025,1,5,8,5,13,0
30/01/2025,1,5,8,5,13,0
31/01/2025,1,5,8,5,13,0
03/02/2025,1,5,8,5,13,0
04/02/2025,0,5,9,5,13,0
05/02/2025,0,5,10,5,15,0
06/02/2025,0,5,11,5,15,0
07/02/2025,0,5,12,6,15,0
10/02/2025,0,5,11,7,15,0
11/02/2025,0,4,10,7,16,0
12/02/2025,0,4,10,7,16,0
13/02/2025,0,3,10,7,17,0
14/02/2025,0,3,10,7,17,0
17/02/2025,0,3,11,7,17,0
18/02/2025,0,3,11,7,17,0
19/02/2025,0,3,11,7,17,0
20/02/2025,0,3,11,7,17,0
21/02/2025,0,3,11,7,18,0
24/02/2025,0,3,12,7,20,0
25/02/2025,0,4,12,8,21,0
26/02/2025,0,3,12,8,21,0
27/02/2025,0,4,12,7,22,0
28/02/2025,0,3,12,7,24,0
03/03/2025,0,3,11,7,24,0
04/03/2025,0,3,11,7,25,0
05/03/2025,0,3,9,8,27,0
06/03/2025,0,3,9,8,28,0
07/03/2025,0,4,9,7,28,0
10/03/2025,0,3,10,7,30,0
11/03/2025,0,5,10,7,31,0
12/03/2025,0,5,10,6,32,0
13/03/2025,0,5,11,6,33,0
14/03/2025,0,6,11,5,34,0
17/03/2025,0,5,10,7,34,0
18/03/2025,0,5,9,7,34,0
19/03/2025,0,4,9,7,35,0
20/03/2025,0,3,7,8,40,0
21/03/2025,0,3,6,8,41,0
24/03/2025,0,4,6,8,44,0
25/03/2025,0,3,7,8,49,0
26/03/2025,0,4,7,8,51,0
27/03/2025,0,2,7,7,53,0
28/03/2025,0,1,6,8,54,0
31/03/2025,0,1,5,10,55,0
01/04/2025,0,1,5,10,55,0